arm,mechanism,severity,outcome,replicate,n_kept,treated_share_kept,naive,outcome_regression,ipw,aipw
robustness,selective_attrition,0.0,visit,14,1000000,0.85,0.01034352941176471,0.00703829051753403,0.006708305114605094,0.007472872695997216
robustness,selective_attrition,0.0,visit,15,1000000,0.85,0.01034352941176471,0.00703829051753403,0.006708305114605094,0.007472872695997216
robustness,selective_attrition,0.0,visit,16,1000000,0.85,0.01034352941176471,0.00703829051753403,0.006708305114605094,0.007472872695997216
robustness,selective_attrition,0.0,visit,17,1000000,0.85,0.01034352941176471,0.00703829051753403,0.006708305114605094,0.007472872695997216
robustness,selective_attrition,0.0,visit,18,1000000,0.85,0.01034352941176471,0.00703829051753403,0.006708305114605094,0.007472872695997216
robustness,selective_attrition,0.0,visit,19,1000000,0.85,0.01034352941176471,0.00703829051753403,0.006708305114605094,0.007472872695997216
robustness,selective_attrition,0.1,visit,0,918828,0.8367485535921848,0.015468700931807897,0.010556459016192505,0.010295042301946625,0.010902136807130144
robustness,selective_attrition,0.1,visit,1,919150,0.8368057444377958,0.015446232854449717,0.010524343372417448,0.010259881588592694,0.010953330523480055
robustness,selective_attrition,0.1,visit,2,919325,0.8368368096157507,0.01543402983134566,0.010471528183623804,0.010222978768704545,0.010893243573507171
robustness,selective_attrition,0.1,visit,3,919174,0.8368100055049424,0.015444558968451871,0.010477924575789176,0.010159496665227481,0.010884955987286579
robustness,selective_attrition,0.1,visit,4,919237,0.8368211897475841,0.015440165514659335,0.010533549123745817,0.010143385314139136,0.010932298435181313
robustness,selective_attrition,0.1,visit,5,919332,0.8368380519768701,0.015433541825895715,0.01050528071793383,0.010115229714221366,0.010906192224770505
robustness,selective_attrition,0.1,visit,6,918966,0.8367730688621777,0.015459069451705276,0.01056652341869877,0.010131159524144819,0.010912418219547923
robustness,selective_attrition,0.1,visit,7,919015,0.8367817717882733,0.015455650409939993,0.010431327461430384,0.010154691813534823,0.01081160323631486
robustness,selective_attrition,0.1,visit,8,919116,0.8367997075450759,0.01544860437177227,0.010525423507725513,0.010145780912623241,0.010877726990339147
robustness,selective_attrition,0.1,visit,9,919413,0.8368524264938607,0.015427895551543842,0.010483295760438629,0.010139619103884244,0.010856995422122779
robustness,selective_attrition,0.1,visit,10,919015,0.8367817717882733,0.015455650409939993,0.010529394808625473,0.010107566331029536,0.010830204458406822
robustness,selective_attrition,0.1,visit,11,918752,0.8367350492842465,0.015474006701771181,0.010488078072532405,0.010189588220674402,0.01091745966083811
robustness,selective_attrition,0.1,visit,12,919332,0.8368380519768701,0.015433541825895715,0.010474840350825576,0.010274460796916754,0.010913069873220705
robustness,selective_attrition,0.1,visit,13,918935,0.83676756245001,0.01546123274399007,0.010551958939979062,0.010249501686719627,0.010982331899383807
robustness,selective_attrition,0.1,visit,14,919229,0.836819769611272,0.015440723373663763,0.010476086933862958,0.010144719432905923,0.010874093844566822
robustness,selective_attrition,0.1,visit,15,919349,0.8368410690608246,0.015432356706774168,0.010431155747058994,0.010162109941564974,0.010832255210463628
robustness,selective_attrition,0.1,visit,16,919155,0.8368066321784683,0.015445884119585779,0.010501771116316146,0.010220353266823273,0.010873698018211777
robustness,selective_attrition,0.1,visit,17,919125,0.8368013055895552,0.015447976596782056,0.010454894498894026,0.010208199785056583,0.010930032514600719
robustness,selective_attrition,0.1,visit,18,918825,0.8367480205697494,0.015468910350209739,0.010468679549789276,0.010279380592283123,0.010878649586508271
robustness,selective_attrition,0.1,visit,19,919622,0.8368895046008034,0.015413332259212965,0.010433932914510363,0.010149543636680636,0.010883265679316427
robustness,selective_attrition,0.25,visit,0,797053,0.8118067430898572,0.025569119376619848,0.017226604537924142,0.01697974225203136,0.017634239015979433
robustness,selective_attrition,0.25,visit,1,798105,0.8120548048189148,0.025465609739162634,0.017325971632929694,0.01702696127326802,0.01767700922713526
robustness,selective_attrition,0.25,visit,2,798122,0.8120588080519019,0.02546393981380049,0.017183426136303078,0.017075408998265762,0.017668709200831002
robustness,selective_attrition,0.25,visit,3,797911,0.8120091087853156,0.025484672740546152,0.01716852879937758,0.01695019609924741,0.017547235459564714
robustness,selective_attrition,0.25,visit,4,797880,0.8120018047826741,0.025487719948138546,0.017269065796848105,0.016944419285129478,0.017628706830574544
robustness,selective_attrition,0.25,visit,5,797440,0.8118980738362761,0.02553100210058075,0.017247540004136835,0.017028479910298766,0.01761589022941533
robustness,selective_attrition,0.25,visit,6,797871,0.8119996841594694,0.025488604675930865,0.017213399137420482,0.01700529050358006,0.017606745131431296
robustness,selective_attrition,0.25,visit,7,797948,0.8120178257229794,0.025481036132529153,0.01713480895164646,0.016862347183157808,0.017528103372957324
robustness,selective_attrition,0.25,visit,8,798350,0.8121124819941129,0.025441551631063472,0.01722437138695287,0.016779048304651455,0.017563247333888785
robustness,selective_attrition,0.25,visit,9,798187,0.8120741129584922,0.02545755561280927,0.017144569995964712,0.01704470177485845,0.017652364992049075
robustness,selective_attrition,0.25,visit,10,797751,0.8119714046112133,0.0255004033957493,0.0172497431270119,0.016976482153013984,0.017580307751350326
robustness,selective_attrition,0.25,visit,11,797738,0.8119683404827148,0.025501681852847916,0.01719832012329819,0.016909408423059977,0.01764609962234155
robustness,selective_attrition,0.25,visit,12,797977,0.8120246573522796,0.025478186108457562,0.017204128329289654,0.016881135034142562,0.017639945936486483
robustness,selective_attrition,0.25,visit,13,798477,0.8121423660293283,0.025429087847371606,0.017140891126803996,0.016780377122718168,0.017467213170969862
robustness,selective_attrition,0.25,visit,14,798388,0.8121214246707115,0.025437821798059188,0.017247105672479956,0.016895817882486383,0.01757892615020496
robustness,selective_attrition,0.25,visit,15,797869,0.8119992129033714,0.025488801285445048,0.017201678000777144,0.017016542374823897,0.01759861289556527
robustness,selective_attrition,0.25,visit,16,797993,0.8120284263145165,0.025476613790581068,0.017243403332320162,0.01705183534505042,0.01766390602099682
robustness,selective_attrition,0.25,visit,17,797512,0.8119150558236115,0.025523915541333597,0.017277631250008574,0.017035506527178793,0.017712444955639322
robustness,selective_attrition,0.25,visit,18,796894,0.8117691938952984,0.025584793180953913,0.01724264712025468,0.017067019723999696,0.017682821293653287
robustness,selective_attrition,0.25,visit,19,798229,0.8120840009571189,0.025453431117706857,0.01717559449587783,0.016849545338250185,0.017594075745113655
robustness,selective_attrition,0.5,visit,0,595048,0.7479194955701053,0.0545135949380741,0.03579558938790349,0.03548882061130545,0.03623820294824314
robustness,selective_attrition,0.5,visit,1,595811,0.7482423117397967,0.054354916769662476,0.03584905647871211,0.0356944479755166,0.03631467227637489
robustness,selective_attrition,0.5,visit,2,596288,0.7484437050552754,0.054255992542931925,0.03563650010168191,0.03527690041100621,0.0359812328258339
robustness,selective_attrition,0.5,visit,3,596515,0.7485394332078824,0.05420898961960964,0.03547723697937619,0.035246186311626314,0.035956580213282914
